id,title,jenis,nomor,tahun,status,dicabut_oleh
D0244,"Peraturan Menteri Pertahanan Nomor 26 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,26,2017,Berlaku,
D0245,"Peraturan Menteri Pertahanan Nomor 27 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,27,2017,Berlaku,
D0246,"Peraturan Menteri Pertahanan Nomor 28 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,28,2017,Berlaku,
D0247,"Peraturan Arsip Nasional Nomor 1 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,1,2017,Berlaku,
D0248,"Peraturan Badan Ekonomi Kreatif Nomor 2 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,2,2017,Berlaku,
D0249,"Peraturan Arsip Nasional Nomor 4 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,4,2017,Berlaku,
D0250,"Peraturan Arsip Nasional Nomor 3 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,3,2017,Berlaku,
D0251,"Peraturan Arsip Nasional Nomor 5 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,5,2017,Berlaku,
D0252,"Peraturan Arsip Nasional Nomor 6 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,6,2017,Berlaku,
D0253,"Peraturan Arsip Nasional Nomor 7 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,7,2017,Berlaku,
D0254,"Peraturan Arsip Nasional Nomor 8 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,8,2017,Berlaku,
D0255,"Peraturan Komisi Pemberantasan Korupsi Nomor 3 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,3,2017,Berlaku,
D0256,"Peraturan Arsip Nasional Nomor 9 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,9,2017,Berlaku,
D0257,"Peraturan Arsip Nasional Nomor 10 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,10,2017,Berlaku,
D0258,"Peraturan Lembaga Sandi Negara Nomor 4 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,4,2017,Berlaku,
D0259,"Peraturan Arsip Nasional Nomor 11 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,11,2017,Berlaku,
D0260,"Peraturan Lembaga Sandi Negara Nomor 9 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,9,2017,Berlaku,
D0261,"Peraturan Arsip Nasional Nomor 13 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,13,2017,Berlaku,
D0262,"Peraturan Arsip Nasional Nomor 12 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,12,2017,Berlaku,
D0263,"Peraturan Komisi Pemberantasan Korupsi Nomor 06 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,06,2017,Berlaku,
D0264,"Peraturan Komisi Pemberantasan Korupsi Nomor 07 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,07,2017,Berlaku,
D0265,"Peraturan Arsip Nasional Nomor 14 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,14,2017,Berlaku,
D0266,"Peraturan Badan Tenaga Nuklir Nasional Nomor 12 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,12,2017,Berlaku,
D0267,"Peraturan Arsip Nasional Nomor 15 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,15,2017,Berlaku,
D0268,"Peraturan Arsip Nasional Nomor 16 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,16,2017,Berlaku,
D0269,"Peraturan Arsip Nasional Nomor 17 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,17,2017,Berlaku,
D0270,"Peraturan Badan Nasional Penanggulangan Terorisme Nomor 5 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,5,2017,Berlaku,
D0271,"Peraturan Badan Nasional Penanggulangan Terorisme Nomor 3 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,3,2017,Berlaku,
D0272,"Peraturan Badan Nasional Penanggulangan Terorisme Nomor 2 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,2,2017,Berlaku,
D0273,"Peraturan Arsip Nasional Nomor 19 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,19,2017,Berlaku,
D0274,"Peraturan Arsip Nasional Nomor 21 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,21,2017,Berlaku,
D0275,"Peraturan Arsip Nasional Nomor 22 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,22,2017,Berlaku,
D0276,"Peraturan Arsip Nasional Nomor 23 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,23,2017,Berlaku,
D0277,"Peraturan Arsip Nasional Nomor 18 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,18,2017,Berlaku,
D0278,"Peraturan Badan Nasional Pencarian dan Pertolongan Nomor 18 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,18,2017,Berlaku,
D0279,"Peraturan Arsip Nasional Nomor 20 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,20,2017,Berlaku,
D0280,"Peraturan Badan Nasional Penanggulangan Terorisme Nomor 6 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,6,2017,Berlaku,
D0281,"Peraturan Pusat Pelaporan dan Analisis Transaksi Keuangan Nomor 15 Tahun 2017,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,15,2017,Berlaku,
D0282,"Peraturan Daerah Provinsi DKI Jakarta Nomor 4 Tahun 2017,""PERATURAN DAERAH",PERATURAN DAERAH,4,2017,Berlaku,
D0283,"Peraturan Presiden Nomor 15 Tahun 2017,""PERATURAN PRESIDEN",PERATURAN PRESIDEN,15,2017,Berlaku,
D0284,"Peraturan Menteri Koordinator Bidang Politik, Hukum, Dan Keamanan Nomor 1 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,1,2016,Berlaku,
D0285,"Peraturan Menteri Koperasi dan UKM Nomor 04/PER/M.KUKM/I/2016 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,04/PER/M.KUKM/I/2016,2016,Berlaku,
D0286,"Peraturan Menteri Sosial Nomor 7 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,7,2016,Berlaku,
D0287,"Peraturan Menteri Pemberdayaan Perempuan dan Perlindungan Anak Nomor 4 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,4,2016,Dicabut,Peraturan Menteri Pemberdayaan Perempuan dan Perlindungan Anak Nomor 15 Tahun 2019
D0288,"Peraturan Menteri Pemberdayaan Perempuan dan Perlindungan Anak Nomor 5 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,5,2016,Berlaku,
D0289,"Peraturan Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 13 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,13,2016,Berlaku,
D0290,"Peraturan Menteri Pemberdayaan Perempuan dan Perlindungan Anak Nomor 11 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,11,2016,Dicabut,Peraturan Menteri Pemberdayaan Perempuan dan Perlindungan Anak Nomor 16 Tahun 2019
D0291,"Peraturan Menteri Pertahanan Nomor 40 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,40,2016,Berlaku,
D0292,"Peraturan Menteri Koordinator Bidang Kemaritiman Nomor 11 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,11,2016,Dicabut,Peraturan Menteri Koordinator Bidang Kemaritiman Nomor 10 Tahun 2018
D0293,"Peraturan Menteri Kelautan dan Perikanan Nomor 67/PERMEN-KP/2016 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,67/PERMEN-KP/2016,2016,Dicabut,Peraturan Menteri Kelautan dan Perikanan Nomor 8 Tahun 2021
D0294,"Peraturan Menteri Hukum dan Hak Asasi Manusia Nomor 54 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,54,2016,Berlaku,
D0295,"Peraturan Menteri Sosial Nomor 3 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,3,2016,Berlaku,
D0296,"Peraturan Menteri Pendidikan dan Kebudayaan Nomor 45 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,45,2016,Berlaku,
D0297,"Peraturan Menteri Hukum dan Hak Asasi Manusia Nomor 55 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,55,2016,Berlaku,
D0298,"Peraturan Menteri Hukum dan Hak Asasi Manusia Nomor 56 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,56,2016,Berlaku,
D0299,"Peraturan Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 16 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,16,2016,Berlaku,
D0300,"Peraturan Menteri Koperasi dan UKM Nomor 11/PER/M.KUKM/IX/2016 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,11/PER/M.KUKM/IX/2016,2016,Berlaku,
D0301,"Peraturan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 23/PRT/M/2016 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,23/PRT/M/2016,2016,Berlaku,
D0302,"Peraturan Menteri Sosial Nomor 11 Tahun 2016,""PERATURAN MENTERI",PERATURAN MENTERI,11,2016,Berlaku,
D0303,"Peraturan Arsip Nasional Nomor 3 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,3,2016,Berlaku,
D0304,"Peraturan Arsip Nasional Nomor 4 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,4,2016,Berlaku,
D0305,"Peraturan Badan Narkotika Nasional Nomor 5 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,5,2016,Berlaku,
D0306,"Peraturan Badan Narkotika Nasional Nomor 02 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,02,2016,Berlaku,
D0307,"Peraturan Arsip Nasional Nomor 5 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,5,2016,Berlaku,
D0308,"Peraturan Arsip Nasional Nomor 6 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,6,2016,Berlaku,
D0309,"Peraturan Arsip Nasional Nomor 7 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,7,2016,Berlaku,
D0310,"Peraturan Arsip Nasional Nomor 8 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,8,2016,Berlaku,
D0311,"Peraturan Arsip Nasional Nomor 9 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,9,2016,Berlaku,
D0312,"Peraturan Arsip Nasional Nomor 10 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,10,2016,Berlaku,
D0313,"Peraturan Arsip Nasional Nomor 2 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,2,2016,Berlaku,
D0314,"Peraturan Arsip Nasional Nomor 11 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,11,2016,Berlaku,
D0315,"Peraturan Arsip Nasional Nomor 12 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,12,2016,Berlaku,
D0316,"Peraturan Arsip Nasional Nomor 13 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,13,2016,Berlaku,
D0317,"Peraturan Arsip Nasional Nomor 14 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,14,2016,Berlaku,
D0318,"Peraturan Arsip Nasional Nomor 15 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,15,2016,Berlaku,
D0319,"Peraturan Arsip Nasional Nomor 16 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,16,2016,Berlaku,
D0320,"Peraturan Arsip Nasional Nomor 17 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,17,2016,Berlaku,
D0321,"Peraturan Arsip Nasional Nomor 18 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,18,2016,Berlaku,
D0322,"Peraturan Arsip Nasional Nomor 19 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,19,2016,Berlaku,
D0323,"Peraturan Arsip Nasional Nomor 20 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,20,2016,Berlaku,
D0324,"Peraturan Arsip Nasional Nomor 21 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,21,2016,Berlaku,
D0325,"Peraturan Arsip Nasional Nomor 22 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,22,2016,Berlaku,
D0326,"Peraturan Arsip Nasional Nomor 24 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,24,2016,Berlaku,
D0327,"Peraturan Komisi Pemberantasan Korupsi Nomor 03 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,03,2016,Berlaku,
D0328,"Peraturan Arsip Nasional Nomor 23 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,23,2016,Berlaku,
D0329,"Peraturan Arsip Nasional Nomor 33 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,33,2016,Berlaku,
D0330,"Peraturan Arsip Nasional Nomor 34 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,34,2016,Berlaku,
D0331,"Peraturan Komisi Pemilihan Umum Nomor 17 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,17,2016,Berlaku,
D0332,"Peraturan Arsip Nasional Nomor 35 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,35,2016,Berlaku,
D0333,"Peraturan Arsip Nasional Nomor 2 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,2,2016,Berlaku,
D0334,"Peraturan Arsip Nasional Nomor 37 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,37,2016,Berlaku,
D0335,"Peraturan Arsip Nasional Nomor 38 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,38,2016,Berlaku,
D0336,"Peraturan Komisi Pemberantasan Korupsi Nomor 09 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,09,2016,Berlaku,
D0337,"Peraturan Arsip Nasional Nomor 36 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,36,2016,Berlaku,
D0338,"Peraturan Arsip Nasional Nomor 26 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,26,2016,Berlaku,
D0339,"Peraturan Arsip Nasional Nomor 25 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,25,2016,Berlaku,
D0340,"Peraturan Arsip Nasional Nomor 27 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,27,2016,Berlaku,
D0341,"Peraturan Arsip Nasional Nomor 28 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,28,2016,Berlaku,
D0342,"Peraturan Arsip Nasional Nomor 29 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,29,2016,Berlaku,
D0343,"Peraturan Arsip Nasional Nomor 31 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,31,2016,Berlaku,
D0344,"Peraturan Arsip Nasional Nomor 30 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,30,2016,Berlaku,
D0345,"Peraturan Arsip Nasional Nomor 32 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,32,2016,Berlaku,
D0346,"Peraturan Arsip Nasional Nomor 1 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,1,2016,Berlaku,
D0347,"Peraturan Badan Kepegawaian Negara Nomor 24 Tahun 2016,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,24,2016,Berlaku,
D0348,"Peraturan Daerah Kota Bandung Nomor 3 Tahun 2016,""PERATURAN DAERAH",PERATURAN DAERAH,3,2016,Berlaku,
D0349,"Peraturan Menteri Koperasi dan UKM Nomor 03/PER/M.KUKM/III/2015 Tahun 2015,""PERATURAN MENTERI",PERATURAN MENTERI,03/PER/M.KUKM/III/2015,2015,Berlaku,
D0350,"Peraturan Menteri Perencanaan Pembangunan Nasional / Badan Perencanaan Pembangunan Nasional Nomor 5 Tahun 2015,""PERATURAN MENTERI",PERATURAN MENTERI,5,2015,Berlaku,
D0351,"Peraturan Menteri Perencanaan Pembangunan Nasional / Badan Perencanaan Pembangunan Nasional Nomor 6 Tahun 2015,""PERATURAN MENTERI",PERATURAN MENTERI,6,2015,Berlaku,
D0352,"Peraturan Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 13 Tahun 2015,""PERATURAN MENTERI",PERATURAN MENTERI,13,2015,Dicabut,Peraturan Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 24 Tahun 2018
D0353,"Peraturan Menteri Luar Negeri Nomor 4 Tahun 2015,""PERATURAN MENTERI",PERATURAN MENTERI,4,2015,Berlaku,
D0354,"Peraturan Menteri Komunikasi dan Informatika Nomor 23 Tahun 2015,""PERATURAN MENTERI",PERATURAN MENTERI,23,2015,Berlaku,
D0355,"Peraturan Menteri Luar Negeri Nomor 8 Tahun 2015,""PERATURAN MENTERI",PERATURAN MENTERI,8,2015,Dicabut,Peraturan Menteri Luar Negeri Nomor 12 Tahun 2022
D0356,"Peraturan Menteri Pemberdayaan Perempuan dan Perlindungan Anak Nomor 13 Tahun 2015,""PERATURAN MENTERI",PERATURAN MENTERI,13,2015,Dicabut,Peraturan Menteri Pemberdayaan Perempuan dan Perlindungan Anak Nomor 14 Tahun 2019
D0357,"Peraturan Arsip Nasional Nomor 14 Tahun 2015,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,14,2015,Berlaku,
D0358,"Peraturan Arsip Nasional Nomor 22 Tahun 2015,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,22,2015,Berlaku,
D0359,"Peraturan Arsip Nasional Nomor 23 Tahun 2015,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,23,2015,Berlaku,
D0360,"Peraturan Arsip Nasional Nomor 18 Tahun 2015,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,18,2015,Berlaku,
D0361,"Peraturan Perpustakaan Nasional Nomor 2 Tahun 2015,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,2,2015,Berlaku,
D0362,"Peraturan Arsip Nasional Nomor 5 Tahun 2015,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,5,2015,Berlaku,
D0363,"Peraturan Arsip Nasional Nomor 13 Tahun 2015,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,13,2015,Berlaku,
D0364,"Peraturan Arsip Nasional Nomor 2 Tahun 2015,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,2,2015,Berlaku,
D0365,"Peraturan Arsip Nasional Nomor 3 Tahun 2015,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,3,2015,Berlaku,
D0366,"Peraturan Arsip Nasional Nomor 6 Tahun 2015,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,6,2015,Berlaku,
D0367,"Peraturan Arsip Nasional Nomor 7 Tahun 2015,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,7,2015,Berlaku,
